Acamar,θ Eri
Achernar,α Eri
Achird,η Cas
Acrab,β Scorpii
Acrux,α Crucis
Acubens,α Cancri
Adhafera,ζ Leonis
Adhara,ε Canis Majoris
Ain,ε Tauri
Aladfar,η Lyrae
Alamak,γ Andromedae
Alathfar,μ Lyrae
Alaraph,β Virginis
Albaldah,π Sagittarii
Albali,ε Aquarii
Albireo,β Cygni
Alchiba,α Corvi
Alcor,80 Ursae Majoris
Alcyone,η Tauri
Aldebaran,α Tauri
Alderamin,α Cephei
Aldhafera,ζ Leonis
Al Dhanab,γ Gruis
Aldhibah,ζ Draconis
Aldib,v Draconis
Al Fawaris,v Cygni
Alfecca Meridiana,α Coronae Australis
Alfirk,β Cephei
Algedi,α Capricorni
Al Giedi,α Capricorni
Algenib,α Persei
Algenib,γ Pegasi
Algieba,γ Leonis
Algol,β Persei
Algorab,v Corvi
Alhajoth,α Aurigae
Alhena,γ Geminorum
Alioth,ε Ursae Majoris
Alkaid,η Ursae Majoris
Al Kurud,θ Columbae
Al Kalb al Rai,ρ-2 Cephei
Alkalurops,μ Boötis
Al Kaphrah,χ Ursae Majoris
Alkes,α Crateris
Alkurah,ξ Cephei
Almach,γ Andromedae
Al Minliar al Asad,κ Leonis
Al Nair,α Gruis
Alnasl,γ-2 Sagittarii
Alnilam,ε Orionis
Alnitak,ζ Orionis
Alniyat,τ Scorpii
Al Niyat,σ Scorpii
Alphard,α Hydrae
Alphecca,α Coronae Borealis
Alpheratz,α Andromedae
Alrai,γ Cephei
Alrakis,μ Draconis
Alrami,α Sagittarii
Alrischa,α Piscium
Alruccabah,α Ursae Minoris
Alsafi,σ Draconis
Alsciaukat,31 Lyncis
Alshain,β Aquilae
Alshat,ν Capricorni
Altair,α Aquilae
Altais,v Draconis
Altarf,β Cancri
Alterf,λ Leonis
Al Thalimain,ι Aquilae
Al Thalimain,λ Aquilae
Aludra,η Canis Majoris
Alula Australis,ξ Ursae Majoris
Alula Borealis,ν Ursae Majoris
Alwaid,β Draconis
Alya,θ Serpentis
Alzir,ξ Geminorum
Ancha,θ Aquarii
Angetenar,τ-2 Eridani
Ankaa,α Phoenicis
Antares,α Scorpii
Arcturus,α Boötis
Arich,γ Virginis
Arided,α Cygni
Arkab,β Sagittarii
Arkab Prior,β-1 Sagittarii
Arkab Posterior,β-2 Sagittarii
Armus,η Capricorni
Arneb,α Leporis
Arrakis,μ Draconis
Ascella,ζ Sagittarii
Asellus Australis,v Cancri
Asellus Borealis,γ Cancri
Asellus Primus,θ Boötis
Asellus Secundus,ι Boötis
Asellus Tertius,κ Boötis
Ashlesha,ε Hydrae
Askella,ζ Sagittarii
Aspidiske,ι Carinae
Asterion,β Canum Venaticorum
Asterope,21 Tauri
Atik,ο Persei
Atlas,27 Tauri
Atria,α Trianguli Australis
Auva,v Virginis
Avior,ε Carinae
Azaleh,ζ Aurigae
Azelfafage,π-1 Cygni
Azha,η Eridani
Azimech,α Virginis
Azmidiske,ξ Puppis
Baham / Biham,θ Peg
Baten Kaitos,ζ Cet
Becrux,β Cru
Beid,ο1 Eri
Bellatrix,γ Ori
Benetnasch,η UMa
Betelgeuse,α Ori
Botein,δ Ari
Brachium,σ Lib
Canopus,α Car
Capella,α Aur
Caph / Chaph,β Cas
Caphir,θ Vir
Caput Andromedae,α And
Caput Medusae,β Per
Caput Trianguli,α Tri
Castor,α Gem
Castula,υ Cas
Cebalrai / Celbalrai,β Oph
Celaeno,16 Tau
Chara,α CVn
Chara,β CVn
Cheleb,β Oph
Chertan / Chort,θ Leo
Cor Caroli,α CVn
Cor Hydrae,α Hya
Cor Leonis,α Leo
Cor Scorpii,α Sco
Cor Serpentis,α Ser
Coxa,θ Leo
Cujam / Caiam,ω Her
Cursa,β Eri
Cursa,τ Ori
Cynosura,α UMi
Dabih,β Capricorni
Decrux,v Crucis
Deneb,α Cygni
Deneb Algedi,v Capricorni
Deneb Dulfim,ε Delphini
Deneb el Okab,ζ Aquilae
Deneb Kaitos,β Ceti
Deneb Kaitos Schemali,ι Ceti
Denebola,β Leonis
Dheneb,η Ceti
Diadem,α Comae Berenices
Diphda,β Ceti
Dnoces,ι Ursae Majoris
Dschubba,v Scorpii
Dubhe,α Ursae Majoris
Duhr,v Leonis
Edasich,ι Draconis
Electra,17 Tauri
Elmuthalleth,α Trianguli
Elnath,β Tauri
Eltanin,γ Draconis
Enif,ε Pegasi
Errai,γ Cephei
Etamin,γ Draconis
Fomalhaut,α Piscis Austrinus
Fum al Samakah,β Piscium
Furud,ζ Canis Majoris
Gacrux,γ Crucis
Garnet Star,μ Cephei
Gatria,γ Trianguli Australis
Gemma,α Coronae Borealis
Gianfar,λ Draconis
Giedi,α Capricorni
Gienah Gurab,γ Corvi
Giennah,ε Cygni
Girtab,κ Scorpii
Gomeisa,β Canis Minoris
Gorgonea Tertia,ρ Persei
Graffias,β Scorpii
Grafias,β Scorpii
Grassias,β Scorpii
Grumium,ξ Draconis
Hadar,β Centauri
Hadir,σ Puppis
Haedus,ζ Aurigae
Haldus,ε Aurigae
Hamal,α Arietis
Hassaleh,ι Aurigae
Head of Hydrus,α Hydri
Heka,λ Orionis
Heze,ζ Virginis
Hoedus (I),ζ Aurigae
Hoedus II,η Aurigae
Homam,ζ Pegasi
Hyadum I,γ Tauri
Hyadum II,δ-1 Tauri
Hydrobius,ζ Hydrae
Izar,ε Boötis
Jabbah,ν Scorpii
